Ranking,Title,Director,Year,Studio,Genre,IMDB,RottenTomatoes,Metacritic,WorldwideGross
67,Tár,Todd Field,2022,Focus,Drama,7.40,91.00,93.00,29177163
68,The Hurt Locker,Kathryn Bigelow,2009,Summit,Action,7.50,96.00,95.00,49259766
69,Under the Skin,Jonathan Glazer,2014,A24,Thriller,6.30,83.00,83.00,7494387
70,Let the Right One In,Thomas Alfredson,2008,Magnolia,Horror,7.80,98.00,82.00,11227336
71,Ocean's Eleven,Steven Soderbergh,2001,Warner Bros.,Comedy,7.70,83.00,74.00,450717150
72,Carol,Todd Haynes,2015,The Weinstein Company,Romance,7.30,94.00,94.00,44375432
73,Ratatouille,Brad Bird,2007,Disney,Family,8.10,96.00,96.00,623730087
74,The Florida Project,Sean Baker,2017,A24,Drama,7.60,96.00,92.00,10876639
75,Amour,Michael Haneke,2012,Sony,Drama,7.90,93.00,95.00,29664140
76,"O Brother, Where Art Thou",Ethan and Joel Coen,2000,Disney,Adventure,7.70,78.00,69.00,71877090
77,Everything Everywhere All at Once,Daniel Scheinert and Daniel Kwan,2022,A24,Action,7.80,94.00,81.00,143412671
78,Aftersun,Charlotte Wells,2022,A24,Drama,7.60,95.00,95.00,8600158
79,The Tree of Life,Terrence Malick,2011,Fox,Drama,6.80,85.00,85.00,58386787
80,Volver,Pedro Almodóvar,2006,Sony,Comedy,7.60,91.00,84.00,85605851
81,Black Swan,Darren Aronofsky,2010,Fox,Horror,8.00,85.00,79.00,329398046
82,The Act of Killing,Joshua Oppenheimer,2013,Drafthouse,Documentary,8.20,96.00,92.00,726324
83,Inside Llewyn Davis,Ethan and Joel Coen,2013,CBS,Drama,7.40,92.00,93.00,33046378
84,Melancholia,Lars von Trier,2011,Magnolia,Drama,7.10,80.00,81.00,17683518
85,Anchorman: The Legend of Ron Burgundy,Adam McKay,2004,DreamWorks,Comedy,7.10,66.00,63.00,90710804
86,Past Lives,Celine Song,2023,A24,Romance,7.80,95.00,94.00,42681202
87,The Lord of the Rings: Fellowship of the Ring,Peter Jackson,2001,New Line,Adventure,8.90,92.00,92.00,888483037
88,The Gleaners & I,Agnès Varda,2001,Zeitgeist,Documentary,7.70,93.00,86.00,159165
89,Interstellar,Christopher Nolan,2014,Paramount,Adventure,8.70,73.00,74.00,758690230
90,Frances Ha,Noah Baumbach,2013,IFC,Comedy,7.40,92.00,82.00,8975688
91,Fish Tank,Andrea Arnold,2010,IFC,Drama,7.30,91.00,81.00,2404300
92,Gladiator,Ridley Scott,2000,DreamWorks,Action,8.50,80.00,67.00,465516248
93,Michael Clayton,Tony Gilroy,2007,Warner Bros.,Thriller,7.20,90.00,82.00,92991835
94,Minority Report,Steven Spielberg,2002,Fox,Action,7.60,89.00,80.00,358372926
95,The Worst Person in the World,Joachim Trier,2022,Neon,Comedy,7.70,96.00,91.00,12687507
96,Black Panther,Ryan Coogler,2018,Disney,Action,7.30,96.00,88.00,1349926083
97,Gravity,Alfonso Cuarón,2013,Warner Bros.,Drama,7.70,96.00,96.00,723753370
98,Grizzly Man,Werner Herzog,2005,Lionsgate,Drama,7.80,93.00,87.00,4065006
99,Memories of Murder,Bong Joon Ho,2003,Palm,Thriller,8.10,95.00,82.00,1210568
100,Superbad,Greg Mottola,2007,Sony,Comedy,7.60,88.00,76.00,170812834
